PERMNO,date,TICKER,COMNAM,PRC,SHROUT,Market Cap
13030,12/31/2020,UVXY,PROSHARES TRUST II,10.65,122531,1304955.15
13031,12/31/2020,KOLD,PROSHARES TRUST II,47.38,525,24874.5
13032,12/31/2020,BOIL,PROSHARES TRUST II,21.0678,8388,176716.7064
13033,12/31/2020,SCHD,SCHWAB STRATEGIC TRUST,64.14,254050,16294767
13034,12/31/2020,TTP,TORTOISE PIPELINE & ENER FD INC,17,2504,42568
13035,12/31/2020,XYL,XYLEM INC,101.79,180232,18345815.28
13046,12/31/2020,UI,UBIQUITI INC,278.51001,62788,17487086.51
13076,12/31/2020,BUI,BLACKROCK UTIL INFRA & PWR OP TR,25.0365,17735,444022.3275
13079,12/31/2020,PVL,PERMIANVILLE ROYAL TRUST,0.7315,33000,24139.5
13082,12/31/2020,IPFF,ISHARES TRUST,15.58,2850,44403
13084,12/31/2020,MN,MANNING & NAPIER INC,6.27,16491,103398.57
13085,12/31/2020,VAC,MARRIOTT VACATIONS WORLDWIDE COR,137.22,41063,5634664.86
13089,12/31/2020,KBWR,INVESCO E T F TRUST II,47.298,830,39257.34
13092,12/31/2020,KBWB,INVESCO E T F TRUST II,50.38,26680,1344138.4
13102,12/31/2020,CPER,UNITED STATES CMDTY INDEX FDS TR,21.732,3000,65196
13103,12/31/2020,APTV,APTIV PLC,130.28999,270025,35181554.55
13105,12/31/2020,ACHC,ACADIA HEALTHCARE CO INC,50.26,88991,4472687.66
13107,12/31/2020,CLVS,CLOVIS ONCOLOGY INC,4.8,88319,423931.2
13108,12/31/2020,GRPN,GROUPON INC,37.995,28813,1094749.935
13111,12/31/2020,LUMO,LUMOS PHARMA INC,35.71,8297,296285.87
13114,12/31/2020,SOCL,GLOBAL X FUNDS,61.78,4800,296544
13116,12/31/2020,BCEI,BONANZA CREEK ENERGY INC,19.33,20834,402721.22
13122,12/31/2020,GREK,GLOBAL X FUNDS,25.46,6366,162078.36
13124,12/31/2020,LPI,LAREDO PETROLEUM INC,19.7,12004,236478.8
13126,12/31/2020,BBH,VANECK VECTORS E T F TRUST,169.69,2822,478865.18
13129,12/31/2020,OIH,VANECK VECTORS E T F TRUST,154,4701,723954
13130,12/31/2020,PPH,VANECK VECTORS E T F TRUST,66.47,3788,251788.36
13131,12/31/2020,RTH,VANECK VECTORS E T F TRUST,157.08,1272,199805.76
13132,12/31/2020,SMH,VANECK VECTORS E T F TRUST,218.42,17721,3870620.82
13137,12/31/2020,SPTS,SPDR SERIES TRUST,30.71,97700,3000367
13138,12/31/2020,FLRN,SPDR SERIES TRUST,30.59,76700,2346253
13141,12/31/2020,WPX,W P X ENERGY INC,8.15,561042,4572492.3
13142,12/31/2020,CPRI,CAPRI HOLDINGS LIMITED,42,150647,6327174
13159,12/31/2020,FBIO,FORTRESS BIOTECH INC,3.17,93703,297038.51
13162,12/31/2020,MCEP,MID CON ENERGY PARTNERS L P,3.97,14312,56818.64
13168,12/31/2020,TRIP,TRIPADVISOR INC,28.78,121725,3503245.5
13169,12/31/2020,ZNGA,ZYNGA INC,9.87,1078999,10649720.13
13176,12/31/2020,DBL,DOUBLELINE OPPORTUN CREDIT FUND,19.65,14954,293846.1
13180,12/31/2020,EMX,E M X ROYALTY CORP,3.35,84377,282662.95
13181,12/31/2020,GWRE,GUIDEWIRE SOFTWARE INC,128.73,83754,10781652.42
13182,12/31/2020,URTH,ISHARES INC,112.41,10200,1146582
13185,12/31/2020,JE,JUST ENERGY GROUP INC,4.68,48051,224878.68
13188,12/31/2020,POST,POST HOLDINGS INC,101.01,65880,6654538.8
13189,12/31/2020,EELV,INVESCO E T F TRUST II,22.31,12750,284452.5
13190,12/31/2020,IDLV,INVESCO E T F TRUST II,29.99,27150,814228.5
13191,12/31/2020,PVG,PRETIUM RESOURCES INC,11.48,187254,2149675.92
13193,12/31/2020,RINF,PROSHARES TRUST,27.15,260,7059
13196,12/31/2020,RLGT,RADIANT LOGISTICS INC,5.8,49680,288144
13198,12/31/2020,BOTJ,BANK OF JAMES FINL GROUP INC,12.12,4339,52588.68
13201,12/31/2020,REGI,RENEWABLE ENERGY GROUP INC,70.82,39333,2785563.06
13202,12/31/2020,VSTM,VERASTEM INC,2.13,169774,361618.62
13206,12/31/2020,CPAC,CEMENTOS PACASMAYO S A A,-7.53,12123,-91286.19
13210,12/31/2020,EPAM,EPAM SYSTEMS INC,358.35001,55989,20063658.71
13211,12/31/2020,FGM,FIRST TR EXCH TRD ALPHADEX FD II,51.28,1850,94868
13214,12/31/2020,FKU,FIRST TR EXCH TRD ALPHADEX FD II,37.74,500,18870
13217,12/31/2020,FSZ,FIRST TR EXCH TRD ALPHADEX FD II,60.36,1600,96576
13219,12/31/2020,NFTY,FIRST TR EXCH TRD ALPHADEX FD II,-38.5,100,-3850
13220,12/31/2020,FEMS,FIRST TR EXCH TRD ALPHADEX FD II,41.09,3700,152033
13221,12/31/2020,FDTS,FIRST TR EXCH TRD ALPHADEX FD II,42.493,200,8498.6
13228,12/31/2020,DVYA,ISHARES INC,37.8324,800,30265.92
13229,12/31/2020,DVYE,ISHARES INC,37.23,17800,662694
13230,12/31/2020,SLVP,ISHARES INC,17.1,13900,237690
13233,12/31/2020,RING,ISHARES INC,29.82,16250,484575
13234,12/31/2020,FILL,ISHARES INC,13.06,4000,52240
13235,12/31/2020,VEGI,ISHARES INC,34.13,1050,35836.5
13236,12/31/2020,PICK,ISHARES INC,36.85,14650,539852.5
13240,12/31/2020,GOVT,ISHARES TRUST,27.24,532900,14516196
13241,12/31/2020,QLTA,ISHARES TRUST,58.52,23900,1398628
13242,12/31/2020,CMBS,ISHARES TRUST,55.33,8500,470305
