,Purchases,Sales
-21,0.001922759136778085,0.007756033079873381
-20,0.0021429339766532163,0.0031369939824492654
-19,0.0037536863056930603,-0.002347906145080736
-18,0.002227071946655057,-0.001350513831058331
-17,0.008436515228107178,0.013426847220389337
-16,0.011107386359332061,0.005623385380146173
-15,0.014194252629498916,-0.005966100092552051
-14,0.012453152218643071,-0.005227465023643907
-13,0.012098266379392486,-0.0011707064021972968
-12,0.020408506488220013,0.006834110663127779
-11,0.02903598780295913,0.018821995208663456
-10,0.024277307095849077,0.025801667226862834
-9,-0.01854546542251656,0.0332324107359796
-8,-0.02264467272374593,0.023312920508353097
-7,-0.03282837920616932,0.03306350098852695
-6,-0.02228215178961379,0.04752124349807407
-5,-0.013011579000910878,0.05492474259824487
-4,-0.012865039950296198,0.05702737736202357
-3,-0.018836973754275843,0.05075089628909324
-2,-0.024066330415070447,0.057583829384247665
-1,-0.011554838401400369,0.042759029872714516
0,-0.013690583244449828,0.04015426061149174
1,-0.01794672870688485,0.0323633178850371
2,-0.019442892751751262,0.03497492703125804
3,-0.01627032002010409,0.0352398855340772
4,-0.006145496185345878,0.02149338515772703
5,0.000957952662199002,0.013289315161472137
6,0.014060166114289618,0.03302790699825242
7,0.024061815111039886,0.047423110668323165
8,0.01617336666669611,0.023285940720546128
9,0.013272478980672187,0.024299542653742234
10,0.033918609175557446,0.024619427231226343
11,0.03633015130867134,0.027457391114297014
12,0.040207983236661526,0.04883531039912192
13,0.03040501117298966,0.04464003163547159
14,0.03764405888661626,0.03641588563398246
15,0.023233913632481507,0.043817199804724316
16,0.025330068550811324,0.04771614645577338
17,0.01499454806662981,0.05886133276201533
18,0.012617682350535508,0.04799276661820362
19,0.020451158658920443,0.038236485306082146
20,0.005362104256087408,0.03796299802774805
21,-0.008315767735381119,0.04118347895474139
22,0.015028117839022359,0.03570106997920597
