,transaction_date,owner,asset_description,type_detailed,amount,senator,ticker,share_class,type,amount_discrete,market_cap,return_1d,return_index_1d,return_abnormal_1d,return_5d,return_index_5d,return_abnormal_5d,return_1m,return_index_1m,return_abnormal_1m,return_prev1d,return_index_prev1d,return_abnormal_prev1d,return_prev5d,return_index_prev5d,return_abnormal_prev5d,return_prev1m,return_index_prev1m,return_abnormal_prev1m,bm_ratio,Senator,Party,Born,Occupation(s),Assumed office,age,in_office,Budget,Environment_and_Public_Works,Homeland_Security_and_Governmental_Affairs,Judiciary,Rules_and_Administration,Agriculture_Nutrition_and_Forestry,Commerce_Science_and_Transportation,Armed_Services,Energy_and_Natural_Resources,Finance,Foreign_Relations,Small_Business_and_Entrepreneurship,Health_Education_Labor_and_Pensions,Banking_Housing_and_Urban_Affairs,Veterans_Affairs,Appropriations
10,2020-02-11,Joint,Apple Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",AAPL,,Sale,1,2255969107000.0,-0.0237477558195224,-0.0064626610081155,-138.2894010386609,-0.0125465727776532,-0.0084580448216811,-32.710267911754784,0.1302837561491741,0.192608145335418,-498.62627568454434,0.0060332765054664,-0.0016884988171559,61.77806346864051,-0.0023835031399246,-0.0182436264059511,126.88891618984421,-0.0322319865646092,-0.0253611017803159,-54.97051371673855,0.07,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
11,2020-03-02,Spouse,Apple Inc.,Sale (Full),"$15,001 - $50,000",Pat Roberts,AAPL,,Sale,2,2255969107000.0,0.0317592784712692,0.0281079401856819,118.67031995072679,0.1092332585924166,0.1112117868249289,-64.303156820766,0.1937686155081824,0.2005449432566508,-220.234039989094,-0.0931007130926513,-0.0460392252438885,-1529.5218858287121,-0.002112851368732,0.0420535108140699,-1435.4288541221565,0.0787136955047173,0.055957108816521,739.6004456597205,0.07,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
12,2020-03-06,Spouse,Apple Inc.,Purchase,"$15,001 - $50,000",Pat Roberts,AAPL,,Purchase,2,2255969107000.0,-0.0790921011659688,-0.0759696807597977,-101.48022441076384,-0.0382659239525307,-0.0879264694503039,1613.9925589503778,-0.1024115489741549,-0.1052897183055945,93.54194235644947,-0.0132801101570357,-0.0170539097997977,122.65037528958314,0.0573237144177536,0.0061437536811748,1663.3743139191793,-0.0935236288686333,-0.0986235402217984,165.74966893354232,0.07,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
13,2020-03-09,Spouse,Apple Inc.,Sale (Partial),"$1,001 - $15,000",William Cassidy,AAPL,,Sale,1,2255969107000.0,-0.0720216000292444,-0.0493963357800302,-181.0134266258374,0.090017654505855,0.131229610858674,-329.7162568007276,0.0003756997266519,-0.0012451939881161,12.967960165002184,0.0790921011659688,0.0759696807597977,24.980924459571888,0.1092332585924166,0.1112117868249288,-15.829215124213855,0.1719707521552108,0.1763672185420534,-35.17392932793342,0.07,Bill Cassidy,Republican,1957-09-28,Physician,2015-01-03,63,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
14,2020-03-20,Spouse,Apple Inc.,Purchase,"$15,001 - $50,000",Pat Roberts,AAPL,,Purchase,2,2255969107000.0,-0.0212441536710803,-0.0292938583551706,261.61942708527357,0.0807014447434373,0.1026282907866649,-712.6334598279154,0.2044145784149982,0.2144933446713985,-327.5649427161379,-0.0634855380341531,-0.0433595225347492,-654.1055667383732,-0.1753066517969566,-0.1497960177350222,-829.1083623298957,-0.2916383103640071,-0.3193095403334169,899.3288096208032,0.07,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
15,2020-03-24,Spouse,Apple Inc.,Purchase,"$15,001 - $50,000",Pat Roberts,AAPL,,Purchase,2,2255969107000.0,-0.0055087491898897,0.0115350197970849,-553.931013961168,0.0300145414776409,0.0560856116665917,-847.3228166759956,0.1461843810758265,0.1591162613950714,-420.29257631561563,0.1003253554396754,0.0938276571019933,211.17844482383708,-0.0236494502886973,-0.0323660934923829,283.2952624413806,-0.2113719601141018,-0.2667725264025167,1800.5461046566252,0.07,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
16,2020-04-07,Joint,Apple Inc.,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,AAPL,,Sale,5,2255969107000.0,-0.0255946507957698,-0.0340564260493869,3173.1699509940395,-0.096365111836145,-0.0466080822438059,-18658.91097564192,-0.195428485349747,-0.1016729274538339,-35158.381088746326,0.0115823141692386,0.0016030454108602,3742.230774026279,-0.0202131432700123,-0.0289484986013253,3275.762616920003,0.1024115489741549,0.1052897183055945,-1079.314938374478,0.07,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
17,2020-04-08,Spouse,Apple Inc.,Purchase,"$1,001 - $15,000",Pat Roberts,AAPL,,Purchase,1,2255969107000.0,0.0072160706875605,0.0144873780900225,-58.174094873396434,0.0774983621791871,0.0180255856406228,475.8119486967837,0.183936551135545,0.0655786587538818,946.9223179994964,0.0255946507957698,0.0340564260493869,-67.69843291656362,0.1044373832551577,0.1131268973891923,-69.52045782934381,-0.000375699726652,0.0012451939881159,-12.967960165001385,0.07,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
18,2020-04-08,Spouse,Apple Inc.,Purchase,"$1,001 - $15,000",Pat Roberts,AAPL,,Purchase,1,2255969107000.0,0.0072160706875605,0.0144873780900225,-58.174094873396434,0.0774983621791871,0.0180255856406228,475.8119486967837,0.183936551135545,0.0655786587538818,946.9223179994964,0.0255946507957698,0.0340564260493869,-67.69843291656362,0.1044373832551577,0.1131268973891923,-69.52045782934381,-0.000375699726652,0.0012451939881159,-12.967960165001385,0.07,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
19,2020-04-14,Joint,Apple Inc.,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",AAPL,,Sale,2,2255969107000.0,0.0091273300514659,0.0220304561393644,-419.3580494197452,0.0650757382015584,0.0384742415831008,864.561940848178,-0.078348792138958,-0.002262777313198,-2472.833524844613,-0.050503165599268,-0.0305725241976657,-647.7558108727723,-0.0936487598582693,-0.0684691854877463,-818.3487568291795,-0.1563871812432018,-0.1473087590299278,-295.05326114251164,0.07,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
