,Unnamed: 0,disclosure_year,disclosure_date,transaction_date,owner,asset_description,type_detailed,amount,representative,district,cap_gains_over_200_usd,ticker,share_class,type,amount_discrete,market_cap,return_1d,return_index_1d,return_abnormal_1d,return_5d,return_index_5d,return_abnormal_5d,return_1m,return_index_1m,return_abnormal_1m,return_prev1d,return_index_prev1d,return_abnormal_prev1d,return_prev5d,return_index_prev5d,return_abnormal_prev5d,return_prev1m,return_index_prev1m,return_abnormal_prev1m,bm_ratio,name,name_committee,party,education,assumed_office,born,age,in_office,Agriculture,Appropriations,Armed_Services,Budget,Education_and_Labor,Energy_and_Commerce,Ethics,Financial_Services,Foreign_Affairs,Homeland_Security,House_Administration,Judiciary,Natural_Resources,Oversight_and_Reform,Rules,Science_Space_and_Technology,Small_Business,Transportation_and_Infrastructure,Veterans_Affairs,Ways_and_Means
2794,3011,2020,12/28/2020,2020-11-05,self,Mastercard Incorporated,purchase,"$1,001 - $15,000",Katherine M. Clark,MA05,False,MA,,Purchase,1,352824481800.0,-0.0091302246232582,-0.0002877124015439,-0.07946995036539944,0.0371529080971788,0.0075659815693145,0.26590538114950485,0.0766436356743438,0.0546368699169623,0.19778051062767057,0.0303710602092752,0.0194601909718188,0.09805881122954463,0.0796439415936947,0.0605236683977268,0.17183885345672217,-0.0619387446859717,0.0444814710126602,-0.9564260752365439,0.017,Katherine Clark,Katherine Clark,Democratic,St. Lawrence University; BA; Cornell University; JD; Harvard University; MPA,2013,1963-07-17,57,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2795,3012,2020,12/29/2020,2020-11-19,joint,Mastercard,purchase,"$15,001 - $50,000",Kenny Marchant,TX24,False,MA,,Purchase,2,352824481800.0,-0.0325865580448064,-0.0067925413261787,-0.2679743170481087,0.0155445369593867,0.0157682997987085,-0.0023246745437935272,-0.0049119743620462,0.0294231783956426,-0.35670827119917115,-0.0061320473894147,0.0039464206133208,-0.10470531245231972,0.0170275970322704,0.0126830288859798,0.04513576518814897,0.0065115157361628,0.0402977532005854,-0.35100558431504303,0.017,Kenny Marchant,Kenny Marchant,Republican,Southern Nazarene University (BA); Nazarene Theological Seminary,2005,1951-02-23,69,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2796,3013,2020,12/29/2020,2020-11-19,,Mastercard,purchase,"$15,001 - $50,000",Kenny Marchant,TX24,False,MA,,Purchase,2,352824481800.0,-0.0325865580448064,-0.0067925413261787,-0.2679743170481087,0.0155445369593867,0.0157682997987085,-0.0023246745437935272,-0.0049119743620462,0.0294231783956426,-0.35670827119917115,-0.0061320473894147,0.0039464206133208,-0.10470531245231972,0.0170275970322704,0.0126830288859798,0.04513576518814897,0.0065115157361628,0.0402977532005854,-0.35100558431504303,0.017,Kenny Marchant,Kenny Marchant,Republican,Southern Nazarene University (BA); Nazarene Theological Seminary,2005,1951-02-23,69,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2797,3014,2020,12/15/2020,2020-11-27,,Mastercard,purchase,"$15,001 - $50,000",Gilbert Cisneros,CA39,False,MA,,Purchase,2,352824481800.0,-0.0075500631860658,-0.0045954897137437,-0.030695095573934825,0.0155720053212609,0.0167026261904434,-0.011746032367293888,0.0486034727754305,0.0257506836890348,0.23741787155037422,-0.00659205418399,0.0023969253233782,-0.09338660475888076,0.0155445369593867,0.0157682997987085,-0.0023246745437935272,0.0692504830894795,0.0730443450871212,-0.03941447308819429,0.017,Gil Cisneros,Gil Cisneros,Democratic,George Washington University (BA); Regis University (MBA); Brown University (MA),2019,1971-02-12,49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2798,3015,2020,04/11/2020,2020-03-23,self,"Mid-America Apartment Communities, Inc.",sale_full,"$1,001 - $15,000",Zoe Lofgren,CA19,False,MAA,,Sale,1,14489535300.0,-0.0532656194638005,-0.0938276571019933,0.3645415507496697,-0.2652651470414549,-0.1739742558326629,-0.820454912729458,-0.2398724459666943,-0.2504692947170823,0.09523662768087364,0.0323428571428571,0.0292938583551707,0.02740214276736593,0.1932348737494044,0.0623310548880403,1.1764665659163793,0.4267433987813134,0.336718812532795,0.8090743016749119,,Zoe Lofgren,Zoe Lofgren,Democratic,Stanford University; BA; Santa Clara University; JD,1995,1947-12-21,73,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2799,3016,2020,05/22/2020,2020-04-17,--,"Mid-America Apartment Communities, Inc.",sale_full,"$1,001 - $15,000",Steve Cohen,TN09,False,MAA,,Sale,1,14489535300.0,0.0441409691629955,0.0178809974396081,0.23600517558004638,0.0622907488986783,0.0131567961705444,0.44157957452092544,0.0209691629955947,-0.0168304018701992,0.3397144915832489,-0.0479180131105161,-0.0267935918272579,-0.1898506520302955,0.0270038576939563,-0.0303747195159542,0.5156761527240279,-0.0029159671290979,-0.1365536001644796,1.2010360628274375,,Steve Cohen,Steve Cohen,Democratic,Vanderbilt University; BA; University of Memphis; JD,2007,1949-05-24,71,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2800,3017,2020,03/10/2020,2020-02-07,,Macerich Company,sale_full,"$1,001 - $15,000",Gilbert Cisneros,CA39,False,MAC,,Sale,1,1594866240.0,-0.1130136986301371,-0.0073263595685921,-0.9498395228504196,0.0222602739726027,-0.0157615898019958,0.3417123495229427,0.3420376712328767,0.1761962430620456,1.4904599207562994,0.0626003210272874,0.0054008332885007,0.514066629205787,-0.0470640968175706,-0.0316817133361442,-0.1382454692874028,0.0963249516441006,-0.0279656985400873,1.1170323040962344,,Gil Cisneros,Gil Cisneros,Democratic,George Washington University (BA); Regis University (MBA); Brown University (MA),2019,1971-02-12,49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2801,3018,2020,05/22/2020,2020-04-17,--,Marriott International - Class A,sale_full,"$1,001 - $15,000",Steve Cohen,TN09,False,MAR,,Sale,1,42785877440.0,0.0532874436268693,0.0178809974396081,0.3182069134388285,0.0421314977450748,0.0131567961705444,0.26040315673250863,-0.0760740564918109,-0.0168304018701992,-0.5324380870724531,-0.0481403159596964,-0.0267935918272579,-0.19184854538316667,-0.0362809002582709,-0.0303747195159542,-0.05308037791436409,-0.1198830409356725,-0.1365536001644796,0.14982263877718485,0.02,Steve Cohen,Steve Cohen,Democratic,Vanderbilt University; BA; University of Memphis; JD,2007,1949-05-24,71,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2802,3019,2020,05/22/2020,2020-04-29,joint,Marriott International - Class A,sale_full,"$15,001 - $50,000",Mo Brooks,AL05,False,MAR,,Sale,2,42785877440.0,0.0526096468382122,0.0092124197570344,0.45085425878870383,0.1550161475153662,0.0309881578902606,1.2885281178652324,0.0100010417751849,-0.0395372017785276,0.5146533449550812,-0.0980324868451154,-0.0265838743587147,-0.7422804033949186,-0.1995751062234441,-0.05008377064348,-1.5530670927929022,-0.2173747622067217,-0.1566180202796021,-0.6312024451868427,0.02,Mo Brooks,Mo Brooks,Republican,Duke University; BA; University of Alabama; JD,2011,1954-04-29,66,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2803,3020,2020,10/07/2020,2020-07-06,self,Marriott International - Class A,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,MAR,,Purchase,1,42785877440.0,-0.0267171323611264,-0.0108185626407355,-0.14288456887372675,-0.0259378826672603,-0.0077050809505239,-0.16386291713491136,-0.028498274518535,0.0465607034581661,-0.6745744992738752,0.0231207289293851,0.0158817383970018,0.06505868512020753,0.1098344452680999,0.0567188979910602,0.47736319723389975,-0.1008008008008007,0.0182044081245777,-1.0695306728895109,0.02,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2804,3021,2020,09/03/2020,2020-07-08,joint,Marriott International - Class A,sale_full,"$15,001 - $50,000",Susie Lee,NV03,False,MAR,,Sale,2,42785877440.0,0.0415601733525946,0.0056436399427117,0.373137251799107,-0.0448938770974554,-0.0178615368114223,-0.28083927390534746,-0.0421157906434048,-0.057206130084481,0.15677369871696595,-0.0292805673109914,-0.0078275024480816,-0.2228761215416048,-0.0496908900034993,-0.0224656403110676,-0.28284341180274164,0.1664505372360134,0.0075111226607972,1.6512232870680217,0.02,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2805,3022,2020,09/18/2020,2020-09-15,joint,Marriott International Inc.,sale_full,"$1,001 - $15,000",Joseph P. Kennedy,MA04,False,MAR,,Sale,1,42785877440.0,-0.022487902077996,0.0046189580148182,-0.24361638097008362,0.0938419204858146,0.0251764083264729,0.6171147640279641,0.078944871429927,-0.0241502998941551,0.9265430391962504,-0.0067825754680932,-0.0052193856138835,-0.01404879258415648,-0.0135603000577033,-0.0208173261621205,0.06522077548303654,-0.092180942017721,-0.0082319775421455,-0.7544711132790808,0.02,Joe Kennedy III,Joe Kennedy III,Democratic,Stanford University (BA); Harvard University (JD),2013,1980-10-04,40,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2806,3023,2020,05/12/2020,2020-04-27,,Marathon,sale_full,"$1,001 - $15,000",Fred Upton,MI06,False,MARA,,Sale,1,549603360.0,0.0426179604261794,0.0052423501292349,0.3359043019336479,0.0737116764514024,0.0124162752563854,0.550877665583918,-0.5942596216568818,-0.0525450932436564,-4.868528943561773,0.0214893617021275,-0.0147140731966977,0.3253696576637389,-0.0695348837209302,-0.019595063687499,-0.44882211297010055,0.0802000000000001,-0.1627591332870139,2.183536734699162,0.489,Fred Upton,Fred Upton,Republican,University of Michigan; BA,1987,1953-04-23,67,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2807,3024,2020,03/12/2020,2020-02-10,,Masco Corporation,sale_partial,"$1,001 - $15,000",Dean Phillips,MN03,False,MAS,,Sale,1,14373862680.0,0.0426988922457199,-0.0016884988171557,0.3989209939630071,0.0825780463242699,-0.0054294484933279,0.7909461779156837,0.2471299093655588,0.2599721367863035,-0.11541642806006715,-0.0172095881991394,-0.0073263595685921,-0.08882313860881622,-0.0300829875518671,-0.0317551678711696,0.015028318157212167,-0.0461441213653601,-0.0304452744347611,-0.14108960837001003,,Dean Phillips,Dean Phillips,Democratic,Brown University; BA; University of Minnesota; MBA,2019,1969-01-20,51,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2808,3025,2020,04/28/2020,2020-02-24,joint,Masco Corporation,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,MAS,,Purchase,1,14373862680.0,-0.0177383592017739,-0.030280015747592,0.11271511966345057,-0.0388026607538802,-0.0420535108140698,0.02921623249716357,-0.2434589800443459,-0.2325962757564579,-0.09762594033770088,-0.0017706949977865,-0.0335135944873044,0.28528166924000975,-0.0111817583863187,-0.0456398513679826,0.30968381725439764,-0.0850071008318116,-0.0288582825317981,-0.5046239905012908,,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2809,3026,2020,06/15/2020,2020-04-03,joint,Masco Corporation,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,False,MAS,,Sale,1,14373862680.0,-0.0916383832150573,-0.0703313041207078,-0.19149224514515986,-0.2159827213822893,-0.1096899925662506,-0.9552803175629441,-0.2739895094106759,-0.1445643220219798,-1.1631777214347074,0.0181763102090276,0.01513712453995,0.027313949725703394,0.0646464646464646,0.0207832474906254,0.39421010713236837,0.2828059305156007,0.2049346350938621,0.6998495254389562,,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2810,3029,2020,07/10/2020,2020-06-23,joint,"Mattel, Inc.",purchase,"$1,001 - $15,000",Susie Lee,NV03,False,MAT,,Purchase,1,6073298000.0,-0.0468594217347955,-0.0258551587364952,-0.1887707583640866,-0.0358923230309071,-0.0099000731327982,-0.23359909011098953,0.1306081754735792,0.0269345860651681,0.931741432514746,-0.0009960159362548,0.0043074416426651,-0.04766354854752627,-0.0137659783677484,0.0020961744017102,-0.14255728029210143,0.1976119402985074,0.0619906325567827,1.2188638618173069,0.052,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2811,3030,2020,10/24/2020,2020-09-18,joint,"Mattel, Inc.",purchase,"$1,001 - $15,000",Susie Lee,NV03,False,MAT,,Purchase,1,6073298000.0,-0.0051457975986278,-0.0115711243059886,0.05774607732647681,-0.0283018867924528,-0.0063293236570897,-0.1974731227942123,0.0763293310463122,0.0372499224273754,0.35121677928017286,-0.0168634064080942,-0.0111825702038422,-0.05105514811472195,0.0590372388737512,-0.0064352568266103,0.5884182971022051,0.0300353356890459,-0.02074175905221,0.45634691789031917,0.026,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2812,3032,2020,02/08/2020,2020-01-13,self,McDonald'S Corporation,sale_full,"$1,001 - $15,000",Michael John Gallagher,WI08,False,MCD,,Sale,1,159885918400.0,-0.0039224252541003,0.0015145386587512,-0.04886340459125971,-0.0225171189054824,-0.0099326973081963,-0.1130994602707714,-0.0528304223926405,-0.0260969000617372,-0.24026109769032394,0.0036667631591645,-0.0069762812562206,0.09565180010160367,-0.0206592695102059,-0.0128916790911441,-0.06980934937762646,-0.0592972044113875,-0.0496756604905954,-0.08647131026250515,,Mike Gallagher,Mike Gallagher,Republican,Princeton University; BA; National Intelligence University; MS; Georgetown University; MA; MS; PhD,2017,1984-03-03,36,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2813,3033,2020,04/05/2020,2020-02-20,,McDonald's Corporation,sale_full,"$1,001 - $15,000",Mikie Sherrill,NJ11,False,MCD,,Sale,1,159885918400.0,-0.0036730518876697,0.0105181087562958,-0.12753964074077523,0.0654640133903664,0.1169413292304407,-0.4626399864858305,0.3625627208480566,0.336718812532795,0.232265905838194,0.0025506654918144,0.0038155427255142,-0.0113677797055904,0.0109445870070548,0.001840536181923,0.08182046561616459,-0.0146240211340693,-0.0130975907160577,-0.01371842599863462,,Mikie Sherrill,Mikie Sherrill,Democratic,United States Naval Academy; BS; London School of Economics; MSc; Georgetown University; JD,2019,1972-01-19,48,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2814,3034,2020,04/13/2020,2020-03-17,--,McDonald'S Corporation,sale_full,"$250,001 - $500,000",Nicholas Van Taylor,TX03,False,MCD,,Sale,5,159885918400.0,0.0699092263920877,0.0518308233070667,0.2320305662032356,-0.0970735672673077,0.0323660934923829,-1.6613169666579015,-0.2606693537461049,-0.1365536001644796,-1.5929863076317445,0.0093281665209157,-0.059954822243549,0.8892251730237706,0.2613829680776544,0.1224884898151777,1.7826665487090594,0.3210376230337595,0.2503749325714149,0.9069332064515594,,Nicholas Van Taylor,Nicholas Van Taylor,Republican,Harvard University; BA; MBA,2019,1972-08-01,48,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
