transaction_date,owner,asset_description,type_detailed,amount,senator,ticker,share_class,type,amount_discrete,return_1d,return_5d,return_1m,return_index_1d,return_index_5d,return_index_1m,return_abnormal_1d,return_abnormal_5d,return_abnormal_1m,Senator,Party,Born,Occupation(s),Assumed office,Age,In_Office,Budget,Environment_and_Public_Works,Homeland_Security_and_Governmental_Affairs,Judiciary,Rules_and_Administration,Agriculture_Nutrition_and_Forestry,Commerce_Science_and_Transportation,Armed_Services,Energy_and_Natural_Resources,Finance,Foreign_Relations,Small_Business_and_Entrepreneurship,Health_Education_Labor_and_Pensions,Banking_Housing_and_Urban_Affairs,Veterans_Affairs,Appropriations
2020-01-10,Joint,Apple Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",AAPL,,Sale,1,-0.021364354763134585,-0.027068025233397464,-0.05436155235915163,-0.007293541500983602,-0.0201906575697961,-0.03490331087020215,-0.014070813262150983,-0.006877367663601364,-0.01945824148894948,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-10,Joint,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",ENTG,,Sale,1,-0.024563423527154127,-0.07906351947802714,-0.12204951065054681,-0.007293541500983602,-0.0201906575697961,-0.03490331087020215,-0.017269882026170524,-0.058872861908231044,-0.08714619978034466,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-10,Joint,"Urban Outfitters, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr",URBN,,Purchase,1,-0.011367942402425224,0.020462296324365248,0.08791208791208782,0.007293541500983602,0.0201906575697961,0.03490331087020215,-0.018661483903408826,0.0002716387545691479,0.05300877704188567,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-10,Spouse,"Netflix, Inc.",Purchase,"$15,001 - $50,000",Pat Roberts,NFLX,,Purchase,2,0.02999550311489152,0.03227479204603534,0.1548701460224935,0.007293541500983602,0.0201906575697961,0.03490331087020215,0.022701961613907917,0.012084134476239239,0.11996683515229134,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2020-01-13,Joint,"Urban Outfitters, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr",URBN,,Purchase,1,0.014181678804139564,0.012265235722499046,0.08164047527788432,-0.0008258796397294654,0.009926138311465715,0.02649047901019097,0.015007558443869029,0.0023390974110333307,0.055149996267693346,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-13,Spouse,"Netflix, Inc.",Purchase,"$15,001 - $50,000",Pat Roberts,NFLX,,Purchase,2,-0.0006786557099416335,-0.0023900034701404005,0.12533925040306704,-0.0008258796397294654,0.009926138311465715,0.02649047901019097,0.00014722392978783194,-0.012316141781606116,0.09884877139287607,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2020-01-13,Joint,"Urban Outfitters, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr",URBN,,Purchase,1,0.014181678804139564,0.012265235722499046,0.08164047527788432,-0.0008258796397294654,0.009926138311465715,0.02649047901019097,0.015007558443869029,0.0023390974110333307,0.055149996267693346,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-13,Spouse,Eaton Vance Tax-Managed Diversified Equity Income,Sale (Partial),"$15,001 - $50,000",Pat Roberts,ETY,,Sale,2,-0.0047355958958168465,-0.014996053670086829,-0.020520915548539742,0.0008258796397294654,-0.009926138311465715,-0.02649047901019097,-0.005561475535546312,-0.005069915358621113,0.005969563461651228,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2020-01-13,Joint,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",ENTG,,Sale,1,-0.004495223824686256,-0.07698070799775247,-0.09365049634763056,0.0008258796397294654,-0.009926138311465715,-0.02649047901019097,-0.005321103464415722,-0.06705456968628676,-0.06716001733743959,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-13,Self,The Procter &amp; Gamble Company,Sale (Full),"$100,001 - $250,000",James M Inhofe,PG,,Sale,4,0.0015214606021780597,-0.009689301729660649,-0.0006406149903908087,0.0008258796397294654,-0.009926138311465715,-0.02649047901019097,0.0006955809624485942,0.00023683658180506661,0.02584986401980016,Jim Inhofe,Republican,1934-11-17,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",1994-11-16,86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-01-13,Spouse,Kohl's Corporation,Sale (Full),"$1,001 - $15,000",Pat Roberts,KSS,,Sale,1,-0.004750593824228044,0.0038868494925502484,0.036061325847549175,0.0008258796397294654,-0.009926138311465715,-0.02649047901019097,-0.00557647346395751,0.013812987804015964,0.06255180485774015,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2020-01-13,Self,Bright Horizons Family Solutions Inc.,Sale (Full),"$50,001 - $100,000",James M Inhofe,BFAM,,Sale,3,0.012045246102109441,0.0065423417915011495,-0.06230516661571395,0.0008258796397294654,-0.009926138311465715,-0.02649047901019097,0.011219366462379976,0.016468480102966865,-0.03581468760552298,Jim Inhofe,Republican,1934-11-17,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",1994-11-16,86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-01-14,Joint,"Entegris, Inc.",Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",ENTG,,Sale,1,0.002796942010069081,-0.06880477344769709,-0.08446764870408341,-0.0019234468166953178,-0.011129999012283953,-0.029054443941922248,0.004720388826764399,-0.057674774435413134,-0.05541320476216116,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-14,Joint,Graphic Packaging Holding Company,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",GPK,,Sale,1,-0.0024125452352232735,0.001809408926417233,0.02593486127864897,-0.0019234468166953178,-0.011129999012283953,-0.029054443941922248,-0.0004890984185279557,0.012939407938701186,0.054989305220571216,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-14,Spouse,Alibaba Group Holding Limited,Purchase,"$15,001 - $50,000",Pat Roberts,BABA,,Purchase,2,-0.006313788409475607,-0.018190691942660098,-0.030288355764565567,0.0019234468166953178,0.011129999012283953,0.029054443941922248,-0.008237235226170925,-0.02932069095494405,-0.059342799706487814,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2020-01-17,Spouse,"Prudential Financial, Inc.",Sale (Partial),"$100,001 - $250,000",Kelly Loeffler,PRU,,Sale,4,0.01658084449021624,0.06951596292481976,0.03419155509783722,0.0028412150553626114,0.025770948832486318,-0.014708672885884733,0.013739629434853629,0.043745014092333445,0.048900227983721956,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2020-01-21,Joint,"Urban Outfitters, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr",URBN,,Purchase,1,0.0015145778114349362,0.012873911397198068,0.08330177962892837,0.0003651643496731527,-0.013202491346633427,0.0068455457664080566,0.0011494134617617835,0.026076402743831495,0.07645623386252032,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-21,Spouse,Discover Financial Services,Purchase,"$250,001 - $500,000",Kelly Loeffler,DFS,,Purchase,5,0.019837476099426432,-0.10097992351816443,-0.09990439770554504,0.0003651643496731527,-0.013202491346633427,0.0068455457664080566,0.01947231174975328,-0.087777432171531,-0.1067499434719531,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2020-01-21,Spouse,Mastercard Incorporated,Purchase,"$15,001 - $50,000",Pat Roberts,MA,,Purchase,2,0.007392942794798518,-0.005156400619898638,0.055198398881694866,0.0003651643496731527,-0.013202491346633427,0.0068455457664080566,0.0070277784451253655,0.00804609072673479,0.04835285311528681,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
