,disclosure_year,disclosure_date,transaction_date,owner,asset_description,type_detailed,amount,representative,district,cap_gains_over_200_usd,ticker,share_class,type,amount_discrete,market_cap,return_1d,return_index_1d,return_abnormal_1d,return_5d,return_index_5d,return_abnormal_5d,return_1m,return_index_1m,return_abnormal_1m,return_prev1d,return_index_prev1d,return_abnormal_prev1d,return_prev5d,return_index_prev5d,return_abnormal_prev5d,return_prev1m,return_index_prev1m,return_abnormal_prev1m,bm_ratio,name,name_committee,party,education,assumed_office,born,age,in_office,Agriculture,Appropriations,Armed_Services,Budget,Education_and_Labor,Energy_and_Commerce,Ethics,Financial_Services,Foreign_Affairs,Homeland_Security,House_Administration,Judiciary,Natural_Resources,Oversight_and_Reform,Rules,Science_Space_and_Technology,Small_Business,Transportation_and_Infrastructure,Veterans_Affairs,Ways_and_Means
2899,2020,10/12/2020,2020-07-01,,Linde plc Ordinary Share,purchase,"$1,001 - $15,000",John A. Yarmuth,KY03,False,LIN,,Purchase,1,138305073300.0,0.030218326581924693,0.004541282342595654,0.02567704423932904,0.033431112352749315,0.011614770881875236,0.02181634147087408,0.13754248731200813,0.0573677893101745,0.08017469800183363,0.012540662863608443,0.005022110834792981,0.007518552028815462,0.04221861298497531,0.02148292151996678,0.020735691465008532,0.046535425397134844,0.019677785668236414,0.02685763972889843,,John Yarmuth,John Yarmuth,Democratic,Yale University; BA; Georgetown University,2007,1947-11-04,73,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2900,2020,12/08/2020,2020-10-07,joint,Lumentum Holdings Inc.,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,LITE,,Purchase,1,7157400000.0,0.019381289601192675,0.008007135650470065,0.01137415395072261,0.0270841098273078,0.02024302153855162,0.006841088288756181,0.10150329233445143,0.026317097778882692,0.07518619455556874,0.0004972032318208974,0.01740579300495404,-0.016908589773133142,0.07134300545720751,0.016785608088016657,0.05455739736919085,0.05422396856581524,-0.0021914466465905447,0.056415415212405784,0.294,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2901,2020,12/08/2020,2020-10-19,joint,Lumentum Holdings Inc.,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,LITE,,Purchase,1,7157400000.0,0.012243428159884662,0.0047272769717412455,0.007516151188143416,-0.008522386268155158,-0.0075723973714005854,-0.0009499888967545722,-0.03144880566558639,0.04110688314871669,-0.07255568881430308,0.007010757887102592,-0.016329822808936134,0.023340580696038726,-0.010805034433626237,-0.030360305810051447,0.01955527137642521,0.1752010156580619,0.02082507946059131,0.1543759361974706,0.294,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2902,2020,12/08/2020,2020-11-04,joint,Lumentum Holdings Inc.,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,LITE,,Purchase,1,7157400000.0,0.0544169611307419,0.019460190971818836,0.03495677015892307,0.004475853945818509,0.03752642706131071,-0.0330505731154922,0.07738515901060072,0.07217201403247908,0.005213144978121642,0.03802420833842768,0.022047038430944355,0.015977169907483324,0.04389524160826275,0.05270816837509895,-0.008812926766836204,0.052305404065443595,0.010212314038191339,0.042093090027252256,0.329,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2903,2020,04/28/2020,2020-03-17,joint,LKQ Corporation,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,False,LKQ,,Sale,1,10725117800.0,0.19248349415947186,0.05183082330706679,0.14065267085240507,0.13864906043676994,0.03236609349238295,0.10628296694438699,-0.06323006602336201,-0.1365536001644796,0.07332353414111759,0.03290766208251461,-0.05995482224354909,0.0928624843260637,0.28607686729514126,0.12248848981517779,0.16358837747996346,0.4183161004431315,0.25037493257141497,0.16794116787171653,0.486,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2904,2020,06/15/2020,2020-04-03,joint,LKQ Corporation,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,False,LKQ,,Sale,1,10725117800.0,-0.1561959654178673,-0.07033130412070787,-0.08586466129715942,-0.22997118155619578,-0.10968999256625067,-0.12028118898994511,-0.3832853025936598,-0.14456432202197989,-0.2387209805716799,0.06266882766072401,0.015137124539950086,0.04753170312077393,0.18773408239700362,0.020783247490625434,0.1669508349063782,0.4147411030527913,0.20493463509386212,0.2098064679589292,0.486,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2905,2020,12/08/2020,2020-10-02,joint,LKQ Corporation,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,LKQ,,Purchase,1,10725117800.0,0.035776920378814525,0.01797553487594228,0.017801385502872247,0.0705015783935461,0.03843282244866275,0.03206875594488334,0.2062434233602244,0.00618795618258039,0.200055467177644,0.017850767583005966,-0.009571699006152401,0.027422466589158367,0.05280649926144765,0.015152525724125843,0.037653973537321805,-0.10402262727844114,-0.05053237491670559,-0.053490252361735546,0.68,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2906,2020,12/08/2020,2020-11-12,joint,LKQ Corporation,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,False,LKQ,,Sale,1,10725117800.0,-0.03384968445209413,-0.013610365817456005,-0.020239318634638126,-0.013482501434308736,-0.01268302888597983,-0.0007994725483289056,-0.0685599541021229,-0.04456023590546798,-0.023999718196654918,0.026256983240223408,0.009978559392721187,0.01627842384750222,-0.0005740528128586053,-0.007565981569314539,0.006991928756455934,-0.12669683257918551,-0.007141372407764468,-0.11955546017142105,0.675,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2907,2020,04/05/2020,2020-02-20,,Eli Lilly and Company,sale_full,"$1,001 - $15,000",Mikie Sherrill,NJ11,False,LLY,,Sale,1,161509304900.0,-0.00028161971830975574,0.010518108756295885,-0.010799728474605641,0.0902112676056338,0.11694132923044076,-0.026730061624806956,0.16161971830985922,0.336718812532795,-0.1750990942229358,-0.008307888944117048,0.0038155427255142094,-0.012123431669631257,0.01052184590076266,0.001840536181923036,0.008681309718839625,-0.01733772746811857,-0.013097590716057761,-0.004240136752060808,0.04,Mikie Sherrill,Mikie Sherrill,Democratic,United States Naval Academy; BS; London School of Economics; MSc; Georgetown University; JD,2019,1972-01-19,48,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2908,2020,06/10/2020,2020-03-13,,Eli Lilly and Company,sale_full,"$500,001 - $1,000,000",Nicholas Van Taylor,TX03,False,LLY,,Sale,6,161509304900.0,0.07167970151395575,0.11984050283657066,-0.04816080132261491,0.12176221568486756,0.14979601773502216,-0.0280338020501546,-0.08473839420248264,-0.02668368363199103,-0.05805471057049161,-0.10593556578320906,-0.09287119453044368,-0.013064371252765383,0.014774564203692608,0.08792646945030402,-0.07315190524661142,0.03383015597920269,0.19260814533541804,-0.15877798935621534,0.04,Nicholas Van Taylor,Nicholas Van Taylor,Republican,Harvard University; BA; MBA,2019,1972-08-01,48,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
